question;option1;option2;option3;correct
Usnesením se rozhoduje;v případě, kdy tak stanoví zákon;ve všech procesních otázkách a tehdy, považuje-li to správní orgán za potřebné k hájení práv účastníků;vždy, pokud nejde o rozhodnutí ve věci; A
Nicotnost rozhodnutí;prohlašuje soud, a to kdykoliv, prohlášením nicotnosti pozbývá takové rozhodnutí právní účinky;zjišťuje a rozhodnutím prohlašuje správní orgán nadřízený správnímu orgánu, který nicotné rozhodnutí vydal;nastává v případě, že je rozhodnutí v rozporu se zákonem; B
Rozhodnutí je nicotné,;pokud k jeho vydání nebyl správní orgán příslušný nebo je v rozporu s dobrými mravy;pokud k jeho vydání nebyl správní orgán vůbec věcně příslušný nebo pokud trpí vadami, jež je činí zjevně vnitřně rozporným nebo právně či fakticky neuskutečnitelným;pokud trpí vadami, pro něž je nelze vůbec považovat za rozhodnutí správního orgánu nebo je v rozporu se zákonem; B
Rozhodnutí se vyhotovuje písemně;vždy;vždy, s výjimkou případů, které stanoví zákon;vždy, s výjimkou případů, kdy tak stanoví úřední osoba; B
Správní orgán je povinen vydat rozhodnutí bez zbytečného odkladu, nejpozději;do 30 dnů od zahájení řízení;"do 30 dnů od zahájení řízení nebo ve lhůtě stanovené zvláštním zákonem; tuto lhůtu nelze překročit";"do 30 dnů od zahájení řízení nebo ve lhůtě stanovené zvláštním zákonem; v případech, které správní řád nebo zvláštní zákon uvádějí, je tato lhůta delší nebo ji lze prodloužit"; C
Rozhodnutí se účastníkům oznamuje;doručením stejnopisu písemného vyhotovení do vlastních rukou nebo ústním vyhlášením;pouze doručením stejnopisu písemného vyhotovení do vlastních rukou;doručením stejnopisu písemného vyhotovení do vlastních rukou, ústním vyhlášením nebo elektronicky bez použití uznávaného elektronického podpisu; A
Ve věci správní orgán rozhoduje;rozhodnutím;usnesením;rozhodnutím nebo usnesením o odložení věci nebo o zastavení řízení; A
Proti usnesení, které se pouze poznamená do spisu, lze podat;odvolání;stížnost;odpor; B
Proti rozhodnutí, jímž správní orgán prohlásil nicotnost, podat odvolání;lze;nelze;lze v případech, které stanoví zákon; B
Náklady řízení nese;správní orgán, dotčený orgán i účastník sám, nestanoví-li zákon jinak;"správní orgán, nestanoví-li zákon jinak; náklady dotčeného orgánu hradí účastník, pokud nutnost dožádat jiný správní orgán vyvolalo porušení povinnosti účastníkem";"správní orgán a účastník sám, nestanoví-li zákon jinak; náklady dotčeného orgánu hradí správní orgán, který vede řízení"; A
Nadřízený správní orgán učiní opatření proti nečinnosti,;pokud správní orgán nečiní úkony v zákonem stanovené nebo přiměřené lhůtě;pokud správní orgán nevydal rozhodnutí do 30 dnů nebo pokud o žádosti nechce rozhodnout žádný správní orgán;okamžitě poté, co se podřízený správní orgán dozvěděl o skutečnostech odůvodňujících zahájení řízení z moci úřední; A
Příkaz je možné vydat na místě, pokud;je účastník přítomen a alespoň částečně uzná důvody vydání příkazu;se uloží povinnost k peněžitému plnění do výše 10 000 Kč, a to i v nepřítomnosti účastníka;je účastník přítomen, plně uzná důvody vydání příkazu a příkazem se uloží povinnost k peněžitému plnění do výše 10 000 Kč; C
Opožděné odvolání;zamítne odvolací správní orgán;zamítne orgán, který napadené rozhodnutí vydal;je nicotným úkonem, ke kterému se nepřihlíží; A
Odvolání;je zvláštní druh žádosti ve věci rozhodnuté;není podání podle správního řádu;je opravný prostředek, který lze podat proti rozhodnutí, pokud zákon nestanoví jinak; C
Odvolání může podat;účastník řízení a dotčený správní orgán;"účastník řízení podle § 27 odst. 1; vedlejší účastník pouze pokud tak stanoví zákon";účastník řízení, pokud zákon nestanoví jinak, a statutární orgán právnické osoby proti rozhodnutí, kterým má být omezena jeho způsobilost samostatně jednat před správním orgánem; B
Odvolání je nepřípustné, pokud je podal;účastník řízení, jehož svéprávnost byla soudem omezena, prostřednictvím svého zástupce;odvolatel, který vzal podané odvolání zpět;účastník řízení, který se vzdal doručení písemného vyhotovení rozhodnutí; B
Pokud zvláštní zákon nestanoví jinak, odvolací lhůta je;15 dnů ode dne oznámení rozhodnutí;"15 dnů ode dne oznámení rozhodnutí; v případě chybějícího nebo vadného poučení o odvolání se k odvolací lhůtě přičítá dalších 15 dnů";15 dnů ode dne vydání rozhodnutí; A
Odvolání má;suspenzivní účinek, v jehož důsledku se rozhodnutí ex lege ruší;devolutivní účinek, v jehož důsledku o něm vždy rozhoduje ústřední správní orgán;odkladný účinek, v jehož důsledku nenastává právní moc ani vykonatelnost napadeného rozhodnutí; C
Odvolání se podává;u správního orgánu, který ve věci rozhodl;u odvolacího správního orgánu;u kteréhokoli krajského úřadu; A
O odvolání rozhoduje;odvolací správní orgán nebo příslušné ministerstvo;krajský soud příslušný podle soudního řádu správního;odvolací správní orgán nebo v tzv. autoremeduře správní orgán, který napadené rozhodnutí vydal; C
Odvolací správní orgán na základě odvolání;zruší napadené rozhodnutí, pokud zjistí nezákonnost rozhodnutí nebo vydá opatření proti nečinnosti;přezkoumá zákonnost napadeného rozhodnutí a jemu předcházejícího řízení a v rozsahu odvolacích námitek také jeho správnost;zruší napadené rozhodnutí a deleguje věc na jiný věcně příslušný správní orgán; B
Odvolání proti jakémukoli rozhodnutí správního orgánu;může podat hlavní účastník řízení, pokud to zákon výslovně nevylučuje, a vedlejší účastník tehdy, pokud mu to zákon výslovně dovoluje;může podat kterýkoli účastník řízení, pokud to zákon výslovně nevylučuje;může podat kterýkoli účastník řízení, pokud to zákon výslovně dovoluje; B
Právo podat odvolání nemá nebo ztrácí;účastník, kterému bylo rozhodnutí doručeno fikcí;účastník, který se řídil nesprávným poučením o lhůtě pro podání odvolání uvedené v napadeném rozhodnutí;účastník, který se po oznámení rozhodnutí tohoto práva písemně nebo ústně do protokolu vzdal; C
Odvoláním lze mimo jiné napadnout;pouze jednotlivý výrok;pouze odůvodnění;pouze poučení; A
K novým skutečnostem a k návrhům na provedení nových důkazů, uvedeným v odvolání nebo v průběhu odvolacího řízení, se přihlédne;vždy;jen tehdy, jde-li o takové skutečnosti nebo důkazy, které účastník nemohl uplatnit dříve;jen tehdy, jde-li o takové skutečnosti nebo důkazy, které účastník neuplatnil dříve; B
Odvolání je nepřípustné mimo jiné tehdy, pokud bylo podáno;před vydáním rozhodnutí;před oznámením rozhodnutí;před vydáním rozhodnutí nebo před oznámením rozhodnutí; A
Odkladný účinek odvolání správní orgán vyloučit;nemůže;může podle svého uvážení;může, ale jen v případech, které stanoví zákon; C
Správní orgán, který napadené rozhodnutí vydal;nemůže své rozhodnutí ani zrušit, ani změnit;může své rozhodnutí zrušit nebo změnit, pokud tím plně vyhoví odvolání a jestliže tím nemůže být způsobena újma žádnému z účastníků, ledaže s tím všichni, kterých se to týká, vyslovili souhlas;může své rozhodnutí zrušit nebo změnit, pokud tím plně vyhoví odvolání; B
Odvolací správní orgán přezkoumává;správnost napadeného rozhodnutí v plném rozsahu a soulad napadeného rozhodnutí a řízení s právními předpisy v rozsahu námitek uvedených v odvolání, jinak jen tehdy, vyžaduje-li to veřejný zájem;správnost napadeného rozhodnutí a soulad napadeného rozhodnutí a řízení s právními předpisy v plném rozsahu;soulad napadeného rozhodnutí a řízení s právními předpisy v plném rozsahu a správnost napadeného rozhodnutí jen v rozsahu námitek uvedených v odvolání, jinak jen tehdy, vyžaduje-li to veřejný zájem; C
Pokud odvolací správní orgán napadené rozhodnutí nebo jeho část zruší a věc vrátí správnímu orgánu 1. stupně k novému projednání, v odůvodnění svého rozhodnutí;musí vyslovit právní názor ve věci, jímž je správní orgán 1. stupně při novém projednání věci vázán;může vyslovit právní názor ve věci, jímž je správní orgán 1. stupně při novém projednání věci vázán;musí vyslovit právní názor ve věci, ale správní orgán 1. stupně jím při novém projednání věci vázán není; A
Odvolací správní orgán rozhodnutí správního orgánu 1. stupně změnit pouze v části odůvodnění;může;nemůže;může, pokud tak výslovně stanoví zvláštní zákon; A
Odvolací správní orgán napadené rozhodnutí nebo jeho část změnit;může;může tehdy, pokud účastníkovi, kterému je ukládána povinnost, nehrozí újma z důvodu ztráty možnosti odvolat se;může tehdy, pokud účastníkovi, kterému je ukládána povinnost, nehrozí újma z důvodu ztráty možnosti odvolat se, nebo pokud se nejedná o rozhodnutí orgánu územního samosprávného celku vydané v samostatné působnosti; B
Odvolací správní orgán napadené rozhodnutí v neprospěch odvolatele změnit;nemůže;může, pokud odvolání podal i jiný účastník, jehož zájmy nejsou shodné, anebo je napadené rozhodnutí v rozporu s právními předpisy nebo jiným veřejným zájmem;může bez omezení; B
Pokud nastane skutečnost, která je důvodem k zastavení řízení, odvolací správní orgán řízení zastavit;musí;může;může, ale jen se souhlasem svého nadřízeného orgánu; A
Odvolací správní orgán vydává rozhodnutí ve lhůtě,;která je stejná jako v řízení v 1. stupni;speciálně stanovené pro odvolací řízení;podle svého uvážení; A
Jestliže odvolací správní orgán napadené rozhodnutí zčásti změní nebo zruší,;ve zbytku je potvrdí, pokud tak stanoví zvláštní zákon;ve zbytku je potvrdí;ve zbytku je nepotvrdí, s výjimkou případů, kdy tak stanoví zákon; B
Proti rozhodnutí odvolacího správního orgánu;se nelze dále odvolat;se lze dále odvolat;se lze dále odvolat, pokud je to nezbytné vzhledem k veřejnému zájmu; A
Rozhodnutí odvolacího správního orgánu je v právní moci, jestliže bylo oznámeno;všem odvolatelům;všem odvolatelům a hlavním účastníkům;všem účastníkům; C
Dojde-li odvolací správní orgán k závěru, že odvolání, které mu správní orgán 1. stupně postoupil jako opožděné nebo nepřípustné, bylo podáno včas a že je přípustné,;rozhodne ve věci samé;vrátí věc správnímu orgánu, který rozhodl v prvním stupni;"vrátí věc správnímu orgánu, který rozhodl v prvním stupni; v odůvodnění svého postupu"; B
V přezkumném řízení správní orgán;přezkoumává zákonnost a správnost vykonatelných rozhodnutí a jim předcházejících řízení;přezkoumává zákonnost pravomocných rozhodnutí;přezkoumává správnost vykonatelných rozhodnutí; B
Přezkumné řízení;lze zahájit na žádost nebo z moci úřední;se zahajuje z moci úřední nebo podáním podnětu příslušnému správnímu orgánu;zahajuje příslušný správní orgán z moci úřední; C
Rozhodnutí v přezkumném řízení vydává;zpravidla správní orgán nadřízený správnímu orgánu, který přezkoumávané rozhodnutí vydal;vždy věcně příslušný ústřední správní orgán;zpravidla správní orgán, který přezkoumávané rozhodnutí vydal; A
V přezkumném řízení správní orgány z moci úřední přezkoumávají pravomocná rozhodnutí;jen v případě, kdy lze důvodně pochybovat o tom, že rozhodnutí je v souladu s právními předpisy;jen v případě, kdy je zcela evidentní, že rozhodnutí není v souladu s právními předpisy;vždy i v případě, že účastník tvrdí, že rozhodnutí není v souladu s právními předpisy; A
V přezkumném řízení se usnesení přezkoumávají;vždy samostatně;vždy spolu s rozhodnutím ve věci, popřípadě s jiným rozhodnutím, jehož vydání předcházela;spolu s rozhodnutím ve věci, popřípadě s jiným rozhodnutím, jehož vydání předcházela, samostatně lze v přezkumném řízení přezkoumávat pouze usnesení o odložení věci a usnesení o zastavení řízení; C
Přezkumné řízení může provést správní orgán, který přezkoumávané rozhodnutí vydal,;vždy;pouze pokud plně vyhoví účastníkovi, který podnět neuplatnil, a pokud tím nemůže být způsobena újma žádnému jinému účastníkovi, ledaže s tím všichni, jichž se to týká, vyslovili souhlas;pouze pokud k přezkumnému řízení dal účastník podnět, pokud plně vyhoví účastníkovi, který podnět uplatnil, a pokud tím nemůže být způsobena újma žádnému jinému účastníkovi, ledaže s tím všichni, jichž se to týká, vyslovili souhlas; C
Jestliže správní orgán po zahájení přezkumného řízení zjistí, že právní předpis porušen nebyl;řízení zastaví usnesením, které se pouze poznamená do spisu;řízení zastaví usnesením;vydá rozhodnutí v přezkumném řízení; A
Obnova řízení;je možná pouze do jednoho roku od právní moci nebo vykonatelnosti rozhodnutí;"je mimořádný opravný prostředek; obnovit řízení lze pouze ze zákonem stanovených důvodů";se provádí po zrušení rozhodnutí správním soudem; B
Řízení se obnoví;"na žádost nebo z moci úřední; o obnově řízení rozhoduje správní orgán, který ve věci rozhodoval v posledním stupni";na žádost, pokud se proti rozhodnutí nelze odvolat;pokud bylo na základě podnětu dotčené osoby zjištěno, že je vykonatelné rozhodnutí v rozporu s právními předpisy; A
Nové rozhodnutí ve věci;lze vydat po právní moci rozhodnutí, pokud je to nutné;lze vydat pouze v případech stanovených zákonem, například po zrušení rozhodnutí soudem;vydá správní orgán z moci úřední, pokud se změnily okolnosti vydání původního rozhodnutí nebo se uložená povinnost ukázala jako neuskutečnitelná; B
Exekuce;je postup, jehož účelem je vynucení splnění povinnosti uložené vykonatelným rozhodnutím;není ve správním řádu vůbec upravena;na peněžité i nepeněžité plnění je ve správním řízení prováděna finančním úřadem; A
Exekučním titulem je;osvědčení, pokud trvají jeho právní účinky;vykonatelné rozhodnutí nebo vykonatelný smír;opatření obecné povahy; B
Soud může být požádán o provedení;exekuce na nepeněžité plnění uložené vykonatelným rozhodnutím, nelze jej požádat o exekuci peněžitého plnění;exekuce, nemůže-li být exekuce provedena podle správního řádu nebo daňového řádu;exekuce na peněžité plnění uložené příkazem na místě, nelze jej však požádat o exekuci nákladů řízení; C
Exekuci na nepeněžité plnění lze provést;způsoby stanovenými zákonem;jakýmkoliv způsobem, který vede ke splnění účelu exekuce;náhradním výkonem i u nezastupitelných plnění; A
Exekuci na peněžité plnění exekuční správní orgán provádí;podle daňového řádu;podle soudního řádu správního;podle exekučního řádu; A
Jestliže se věc týká práva územního samosprávného celku na samosprávu, mají územní samosprávné celky postavení;dotčených orgánů;účastníků řízení podle § 27 odst. 1;účastníků řízení podle § 27 odst. 2; A
Účastníkem řízení se stává každý;vždy od okamžiku zahájení řízení;vždy od okamžiku, kdy ho správní orgán do řízení přibere svým usnesením;od okamžiku zahájení řízení, s výjimkou případů, kdy je povinen se do řízení přihlásit; B
Zástupcem účastníka je;zákonný zástupce, opatrovník, zmocněnec nebo podpůrce;zákonný zástupce, opatrovník, zmocněnec, společný zmocněnec nebo společný zástupce;zákonný zástupce, opatrovník, zmocněnec, zmocněnec pro doručování, podpůrce, společný zmocněnec nebo společný zástupce; B
Pokud si účastník zvolí zmocněnce, zmocnění k zastoupení se prokazuje plnou mocí, která;může být udělena pouze písemně;může být udělena pouze ústně do protokolu;může být udělena písemně nebo ústně do protokolu; C
Účastník může mít současně;pouze jednoho zmocněnce;maximálně dva zmocněnce;tolik zmocněnců, kolik potřebuje; A
Pokud má účastník v řízení zástupce, písemnosti se doručují;pouze zástupci;zástupci, s výjimkou případů, kdy má zastoupený něco v řízení osobně vykonat;pouze zastoupenému; A
Záznam o podání vysvětlení;lze použít jako důkazní prostředek;nelze použít jako důkazní prostředek;lze použít jako důkazní prostředek pouze ve sporném řízení; B
Správní orgán může zajistit neodkladný nebo neopakovatelný důkaz před zahájením řízení,;pokud lze důvodně předpokládat zahájení řízení o žádosti;jen pokud o to ten, kdo by byl účastníkem, požádá;pokud je možné důvodně předpokládat, že provedení tohoto důkazu může podstatně ovlivnit řešení otázky, která bude předmětem rozhodování; C
Vyjádření, osvědčení, sdělení;je neformálním úkonem správního orgánu, který nemá žádné právní účinky;je zvláštním druhem rozhodnutí, které se vydává postupem podle části IV. správního řádu;je zvláštním úkonem odlišným od rozhodnutí, který se provádí podle části IV. správního řádu; C
Vyjádření, osvědčení, sdělení;se přezkoumává v přezkumném řízení, lze jej zrušit do jednoho roku od jeho vydání;nelze zrušit ani změnit, neboť nemá právní účinky;lze přezkoumat a případně též usnesením zrušit, pokud trvají jeho právní účinky; C
Postup podle části IV. správního řádu (Vyjádření osvědčení, sdělení) se použije;při provádění exekuce, vyřizování stížností nebo vydávání procesních rozhodnutí;při provádění úkonů, na které se nepoužije část druhá nebo třetí správního řádu, ačkoliv se jedná o výkon veřejné správy;při vydávání jednoduchých povolení, uzavírání veřejnoprávní smlouvy a provádění dalších úkonů, které nejsou jinak ve správním řádu upraveny; B
Veřejnoprávní smlouva je;dvoustranný nebo vícestranný úkon, jehož jednou stranou je vždy vykonavatel veřejné moci;dvoustranný nebo vícestranný úkon, na který dopadá veřejné právo;dvoustranný nebo vícestranný úkon, který zakládá, mění nebo ruší práva a povinnosti v oblasti veřejného práva; C
Veřejnoprávní smlouva;musí být uzavřena písemně a projevy vůle všech smluvních stran musí být na téže listině;může být uzavřena též ústně v přítomnosti dvou nestranných osob;"může být uzavřena i písemně; projevy vůle všech smluvních stran však nemusí být na téže listině"; A
Opatření obecné povahy;je rozhodnutí;není ani rozhodnutím, ani právním předpisem;je právní předpis; B
Stížnost mohou podat;dotčené osoby proti nevhodnému chování úředních osob nebo proti kterémukoli postupu správního orgánu;dotčené osoby proti nevhodnému chování úředních osob nebo proti postupu správního orgánu, pokud správní řád neposkytuje jiný prostředek ochrany;"účastníci řízení proti postupu správního orgánu; stížností nelze napadat postup ústředního správního orgánu"; B
Stížnost vyřizuje;ústřední správní úřad, do jehož působnosti stížnost směřuje;správní orgán nadřízený správnímu orgánu, proti jehož postupu nebo úřední osobě směřuje;správní orgán, proti jehož postupu nebo úřední osobě směřuje; C
Při vyřizování stížnosti se postupuje;podle pravidel stanovených radou obce, pokud se jedná o stížnost proti postupu při výkonu působnosti v oblasti veřejné správy;podle části IV. správního řádu (Vyjádření, osvědčení, sdělení);neformálně podle interních instrukcí; B
Lhůta k vyřízení stížnosti;je 60 dnů;není zákonem stanovena;dle obtížnosti věci je určena správním orgánem; A
Mezi úkony podle čtvrté části § 154 nepatří;rozhodnutí;závazné stanovisko;ověření pravosti podpisu; A
Pod pojmem kritéria 3E rozumíme:;hospodárnost, efektivnost, účelnost;hospodárnost, efektivnost, úspornost;hospodárnost, efektivnost, kvalita; A
Rozpočet územního samosprávného celku schvaluje;zastupitelstvo územního samosprávného celku;finanční výbor územního samosprávného celku;rada územního samosprávného celku; A
Hospodaření obce za uplynulý kalendářní rok;podléhá povinnému přezkoumání;nepodléhá žádnému přezkoumání;podléhá přezkoumání, pokud o ně obec požádá; A
Sdílené daně jsou takové daně, které jsou distribuovány mezi více rozpočtů rozpočtové soustavy. Které mezi ně patří?;daň z přidané hodnoty, daň z příjmů právnických osob, daň z příjmů fyzických osob;daň z nemovitých věcí, daň z příjmů právnických osob, daň z příjmů fyzických osob ze samostatné výdělečné činnosti;daň z nemovitých věcí, daň z příjmů právnických osob, daň z příjmů fyzických osob ze závislé činnosti; A
Státním dluhem rozumíme objem všech závazků státu. Co je ale veřejný dluh?;dluh státu zveřejněný ve Sbírce zákonů;závazky ústředních institucí, územních samospráv, mimorozpočtových fondů, příp. dalších subjektů veřejného sektoru;závazky ústředních institucí, mimorozpočtových fondů příp. dalších subjektů veřejného sektoru; B
Transferem rozumíme v oblasti veřejných financí:;bezúčelnou úhradu státu pouze územnímu samosprávnému celku;finanční úhradu státu nebo územního samosprávného celku některému dalšímu subjektu veřejné správy nebo právnické či fyzické osobě za účelem jeho finanční podpory;finanční úhradu státu nebo územního samosprávného celku některému dalšímu subjektu veřejné správy nebo právnické či fyzické osobě za účelem jeho finanční podpory, za což náleží poskytovateli finanční odměna ve výši nákladů spojených s administrací transferu; B
Veřejné finance mají také svá specifika, která vyjadřujeme typickými principy. Které to jsou?;princip nenávratnosti, redistribuce, neekvivalence;princip nedobrovolnosti, neekvivalence, neziskovosti;princip nenávratnosti, nedobrovolnosti, neekvivalence; C
Veřejný statek má jisté vlastnosti. Které to jsou?;kvalitativní a kvantitativní nedělitelnost spotřeby, nevylučitelnost ze spotřeby, nulové mezní náklady;kvalitativní a kvantitativní nedělitelnost spotřeby, nulové mezní náklady;kvalitativní nedělitelnost spotřeby, nevyléčitelnost spotřeby; A
V průběhu kontrolního procesu se na zajištění finanční řídící kontroly podílí (důležité je i pořadí):;správce rozpočtu, příkazce operace a hlavní účetní;příkazce operace, správce rozpočtu a hlavní účetní - § 26 z. č. 320/2001 Sb.;příkazce operace, hlavní účetní, interní audit; B
Za porušení rozpočtové kázně se dle příslušného právního předpisu považuje např.:;neschválení rozpočtu před 1. 1. roku, na nějž se rozpočet připravuje, případně neschválení pravidel rozpočtového provizoria;neoprávněné použití nebo zadržení peněžních prostředků poskytnutých z rozpočtů nebo fondů subjektů veřejné správy, porušení povinnosti stanovené právním předpisem, rozhodnutím nebo dohodou o poskytnutí dotace nebo návratné finanční výpomoci;neprovedení přezkumu hospodaření Ministerstvem financí, krajským úřadem nebo soukromým auditorem; B
Územní samosprávné celky mohou zřizovat:;příspěvkové organizace;jakékoliv společnosti nebo organizace;úvěrové společnosti; A
Pokud krajský úřad přezkoumává hospodaření obce, činí tak;v samostatné působnosti;v přenesené působnosti;v samostatné působnosti, přezkoumává-li obec, v přenesené působnosti, přezkoumává-li město; B
Obec:;je povinna nechat si přezkoumat hospodaření za uplynulý kalendářní rok;je povinna nechat si přezkoumat hospodaření za kalendářní rok;si nechá přezkoumat hospodaření, pokud její rozpočet v uplynulém roce přesáhl 10 mil. Kč.; A
Obec je povinna si nechat přezkoumat hospodaření:;krajským úřadem;auditorem nebo krajským úřadem;Ministerstvem financí; B
Za objednání přezkoumání hospodaření obce je odpovědný:;starosta;tajemník, je-li tato funkce zřízena;rada jako vrcholný výkonný orgán; A
Protokol o kontrole musí být vyhotoven do:;30 dnů ode dne provedení posledního kontrolního úkonu;30 dnů ode dne ukončení kontroly;60 dnů ode dne ukončení kontroly; A
Opravným prostředkem proti kontrolním zjištěním uvedeným v protokolu o kontrole;je odvolání;jsou námitky;je přezkum; B
Námitky, jako opravný prostředek se podávají;proti obsahu protokolu o kontrole;proti kontrolním zjištěním uvedeným v protokolu o kontrole;proti nevytvoření podmínek k provedení kontroly; B
Příspěvkové organizace obce zřizuje;rada obce jako vrcholný výkonný orgán;zastupitelstvo obce;rada obce po předchozím projednání v zastupitelstvu; B
Ředitele příspěvkové organizace zřízené obcí jmenuje a odvolává;rada;zastupitelstvo;ředitel krajského úřadu; A
K přijetí daru příspěvkovou organizací je třeba souhlasu;rady obce;statutárního zástupce příspěvkové organizace;zastupitelstva obce; A
Kraj si nechá přezkoumat hospodaření;auditorem nebo auditorskou společností;Ministerstvem financí;Ministerstvem vnitra; B
Za objednání přezkumu hospodaření kraje odpovídá;ředitel krajského úřadu;hejtman;zastupitelstvo kraje; B
Mezi místní poplatky, které je obec oprávněna vybírat, nepatří;poplatek ze psů, za lázeňský nebo rekreační pobyt;poplatek za užívání veřejného prostranství a vysokorychlostní internet;poplatek ze vstupného a poplatek za povolení k vjezdu s motorovým vozidlem do vybraných míst a částí měst; B
Pokud obec vybírá poplatek ze psů, platí jej;držitel psa;vlastník psa;držitel nebo vlastník, podle toho, kdo provede jeho přihlášení; A
Poplatek ze psů se vybírá;ze psů starších 3 měsíců;z každého psa;z každého psa, který byl řádně přihlášen a podléhá povinnému očkování; A
Od poplatku ze psů;nemůže být nikdo osvobozen, jde o zákonnou povinnost platit;může být osvobozen pouze vlastník psa, splní-li zákonem stanovené podmínky;je osvobozen držitel psa, který splňuje zákonem stanovené podmínky; C
Od poplatku ze psa je osvobozen;držitel psa, kterým je osoba nevidomá;vlastník psa, kterým je osoba tělesně postižená;vlastník psa, kterým je osoba dle zákona upravujícího specifické zdravotní služby; A
Poplatku za užívání veřejného prostranství spočívajícího ve vyhrazení trvalého parkovacího místa nepodléhají;osoby s hendikepem;osoby, které jsou držiteli průkazu ZTP nebo ZTP/P;osoby, kterým bylo parkovací místo schváleno usnesení zastupitelstva; B
Subjektem poplatku za obecní systém odpadového hospodářství je;fyzická a právnická osoba přihlášená v obci k trvalému pobytu;fyzická osoba přihlášená v obci;vlastník nemovité věci; B
Místní poplatky zavádí obec;na základě zákonného zmocnění;nařízením rady obce a není-li zřízena, pak nařízením zastupitelstva;obecně závaznou vyhláškou; C
Co je autorizovaná konverze dokumentů?;Ověření dokumentů a spojení s doložkou;Provedení kopie na autorizovaném technickém zařízení;Úplné převedení dokumentu v listinné podobě do dokumentu obsaženého v datové zprávě nebo datovém souboru a úplné převedení dokumentu obsaženého v datové zprávě nebo datovém souboru do dokumentu v listinné podobě způsobem zajišťujícím shodu obsahu těchto dokumentů a připojení doložky o provedení konverze; C
Jaký rozdíl je mezi konverzí z moci úřední a na žádost?;Konverze z moci úřední je určena pro vnitřní potřebu orgánu veřejné moci, konverze na žádost je určena pro širokou veřejnost zpravidla za správní poplatek;Konverzi z moci úřední poskytují všechny úřady za správní poplatek konkrétnímu žadateli, konverzi na žádost poskytují vybrané subjekty za poplatek;Konverze z moci úřední je určena pro vnitřní potřebu orgánu veřejné moci, konverze na žádost je určena pro širokou veřejnost; A
Co je eLegalizace?;eLegalizace je uznání elektronického dokumentu;eLegalizace je uznání elektronického podpisu na elektronickém dokumentu za vlastní;eLegalizace je uznání potvrzení souladu obsahu dokumentu s právními předpisy; B
Jaké jsou hlavní typy datových schránek?;Orgánu veřejné moci, právnické osoby, podnikající fyzické osoby, fyzické osoby;Advokáta, daňového poradce, insolvenčního správce, živnostníka;Zahraniční právnické osoby, zahraničního podnikatele; A
Jak se datová schránka zřizuje?;Pro subjekty zapsané v Registru osob a Registru práv a povinností automaticky ze zákona, ostatním na základě jejich žádosti;Úřadům a právnickým osobám v obchodním rejstříku ze zákona, podnikatelům a fyzickým osobám na základě jejich žádosti;Všem výhradně po podání žádosti na Czech POINTu; A
Kdo musí datové schránky povinně používat k odesílání (doručování)?;Orgány veřejné moci;Orgány veřejné moci i ostatní, kterým je schránka zřízena ze zákona;Všichni držitelé datových schránek; A
Kdy se datová zpráva bere jako doručená?;Obvykle okamžikem přihlášení příjemce do datové schránky nebo po uplynutí 10 dnů od dodání zprávy, podle toho, co nastalo dříve.;Ihned po odeslání;Jakmile si uživatel zprávu přečte; A
Jak dlouho je datová zpráva uložena v datové schránce?;90 dnů od okamžiku, kdy se příjemce přihlásil do schránky nebo 3 roky, pokud se nepřihlásil;90 dnů od dodání do schránky;Navždy, dokud jí příjemce nesmaže; A
Jsou datové schránky zdarma nebo se něco platí?;Zřízení i používání je zdarma. Zpoplatněny jsou volitelné služby, jako je prodloužení úložní doby nebo posílání zpráv mezi soukromoprávními subjekty.;Za zřízení se platí správní poplatek 200 Kč.;Povinně se platí služba Datový trezor.; A
Jaké jsou základní registry?;Registr obyvatel, Registr osob, Veřejný rejstřík a Registr územní identifikace;Evidence obyvatel, Registr osob, Registr územní identifikace a Registr práv a povinností;Registr osob, Registr obyvatel, Registr územní identifikace a Registr práv a povinností; C
Jaký zákon upravuje problematiku sdílení dat veřejné správy?;Zákon č. 300/2008 Sb. o elektronických úkonech a autorizované konverzi dokumentů;Zákon č. 365/2000 Sb. o informačních systémech veřejné správy;Zákon č. 111/2009 Sb. o základních registrech; C
Jaké sdílení údajů veřejné správy reguluje Zákon o základních registrech?;Pouze sdílení referenčních údajů základních registrů agendovými informačními systémy;Pouze sdílení všech údajů základních registrů agendovými informačními systémy;Sdílení všech údajů základních registrů agendovými informačními systémy a údajů vedených v informačních systémech veřejné správy; C
Kde jsou aktuálně evidovány údaje o veřejnoprávních smlouvách?;Každé OVM si je eviduje individuálně;V krajských věstnících;V Registru práv a povinností v rámci Rejstříku převodu agend; C
Kde najdu záznamy o informačním systému veřejné správy, kterého jsem správcem?;Každé OVM si je eviduje individuálně.;V Informačním systému o informačních systémech.;V Registru práv a povinností v rámci Rejstříku informačních systémů veřejné správy a soukromoprávních systémů pro využívání údajů.; C
Je Portál občana součástí Portálu veřejné správy?;Ano, je součástí Portálu veřejné správy, tvoří jeho transakční část.;Ano, je součástí Portálu veřejné správy, ale netvoří jeho transakční část.;Není součástí Portálu veřejné správy.; A
Kterou službu můžeme vyřídit na Portálu občana?;Žádost o občanský průkaz;Výpis z rejstříku trestů;Změna trvalého pobytu; B
Jaké formuláře pro veřejnou správu nejsou přímo dostupné z Portálu veřejné správy?;Formuláře Registru smluv;Formuláře Sbírky právních předpisů;Formuláře Czech POINT@office; C
